[     300ms] [WARNING] [BACKEND_API_RESPONSE] {status: null, ok: false, bodyCount: null, bodyCountPath: null, durationMs: 2682} @ http://localhost:5173/src/lib/api/backendClient.ts?t=1782499321627:208
[     301ms] [LOG] [DATA_LAYER_QUERY_DONE] {name: /api/cockpit/properties/24554327/comp-intelligence…12981&master_owner_id=mo_36f0a8b60d4ea762081338c9, durationMs: 2682, transport: backend, status: null, ok: false} @ http://localhost:5173/src/lib/data/dashboardDataLayer.ts:22
[    2242ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://localhost:5173/node_modules/.vite/deps/react-dom-D2bPC4jN.js?v=601e9e7c:17232
[    2705ms] [LOG] [dashboard boot] live inbox fetch started {options: Object, filterKey: all_messages, timeoutMode: initial_boot, timeoutMs: 20000} @ http://localhost:5173/src/modules/inbox/inbox.adapter.ts?t=1782501206375:240
[    2705ms] [LOG] [VIEW_MODEL_LOAD_START] {viewModel: inbox_threads_view, startedAt: 2696.600000000559, view: all_messages, filter: all, limit: 25} @ http://localhost:5173/src/lib/data/dashboardDataLayer.ts:26
[    2706ms] [LOG] [INBOX_API_REQUEST] {url: /api/cockpit/inbox/live?filter=all&direction=all&c…out_mode=initial_boot&refresh_reason=initial_boot, filter: all, timeoutMode: initial_boot, refreshReason: initial_boot} @ http://localhost:5173/src/lib/data/inboxData.ts?t=1782499321627:1423
[    2706ms] [LOG] [BACKEND_API] Local dev detected. Will use relative paths via proxy. @ http://localhost:5173/src/lib/api/backendClient.ts?t=1782499321627:17
[    2710ms] [LOG] [useInboxData] realtime subscriptions active @ http://localhost:5173/src/modules/inbox/inbox.adapter.ts?t=1782501206375:1379
[    2714ms] [LOG] [SMOOTH_THREAD_SELECT] {key: ct:property:2124443109|owner:mo_36f0a8b60d4ea762081338c9|phone:+19012812981, refetch: false} @ http://localhost:5173/src/modules/inbox/InboxPage.tsx?t=1782501953534:1718
[    2717ms] [LOG] [MESSAGES_FETCH_START] ct:property:2124443109|owner:mo_36f0a8b60d4ea762081338c9|phone:+19012812981 @ http://localhost:5173/src/modules/inbox/InboxPage.tsx?t=1782501953534:1730
[    2717ms] [LOG] [THREAD_CONTEXT_START] {threadKey: +19012812981, propertyId: 2124443109, prospectId: pros0_e96b2c69bde82ca0a59edf87, ownerId: undefined} @ http://localhost:5173/src/modules/inbox/InboxPage.tsx?t=1782501953534:1806
